date;search_volume
04.10.12;0,837508069
05.10.12;0,916024451
06.10.12;0,889852324
07.10.12;0,942196578
08.10.12;0,837508069
09.10.12;0,837508069
10.10.12;0,837508069
11.10.12;1,046885086
12.10.12;1,046885086
13.10.12;0,837508069
14.10.12;0,889852324
15.10.12;0,732819561
16.10.12;0,916024451
17.10.12;0,785163815
18.10.12;0,811335942
19.10.12;0,889852324
20.10.12;0,785163815
21.10.12;0,785163815
22.10.12;0,785163815
23.10.12;0,785163815
24.10.12;0,785163815
25.10.12;0,785163815
26.10.12;0,785163815
27.10.12;0,785163815
28.10.12;0,785163815
29.10.12;0,785163815
30.10.12;0,785163815
31.10.12;0,785163815
01.11.12;0,785163815
02.11.12;0,785163815
03.11.12;0,785163815
04.11.12;1,177745722
05.11.12;0,785163815
06.11.12;0,785163815
07.11.12;0,785163815
08.11.12;0,785163815
09.11.12;0,785163815
10.11.12;0,785163815
11.11.12;0,785163815
12.11.12;1,177745722
13.11.12;0,785163815
14.11.12;0,785163815
15.11.12;0,785163815
16.11.12;1,57032763
17.11.12;1,177745722
18.11.12;1,177745722
19.11.12;1,177745722
20.11.12;1,177745722
21.11.12;0,785163815
22.11.12;1,177745722
23.11.12;0,785163815
24.11.12;1,177745722
25.11.12;0,785163815
26.11.12;1,177745722
27.11.12;1,177745722
28.11.12;2,355491445
29.11.12;1,177745722
30.11.12;1,177745722
01.12.12;1,177745722
02.12.12;1,177745722
03.12.12;1,177745722
04.12.12;1,177745722
05.12.12;1,177745722
06.12.12;1,177745722
07.12.12;1,177745722
08.12.12;1,57032763
09.12.12;1,962909537
10.12.12;1,57032763
11.12.12;1,57032763
12.12.12;1,57032763
13.12.12;1,177745722
14.12.12;1,177745722
15.12.12;1,177745722
16.12.12;1,177745722
17.12.12;1,177745722
18.12.12;1,177745722
19.12.12;0,785163815
20.12.12;1,177745722
21.12.12;0,785163815
22.12.12;0,785163815
23.12.12;0,785163815
24.12.12;1,177745722
25.12.12;1,177745722
26.12.12;0,785163815
27.12.12;0,785163815
28.12.12;1,177745722
29.12.12;1,177745722
30.12.12;1,177745722
31.12.12;0,785163815
01.01.13;0,785163815
02.01.13;1,177745722
03.01.13;1,177745722
04.01.13;1,177745722
05.01.13;1,57032763
06.01.13;1,57032763
07.01.13;1,177745722
08.01.13;1,177745722
09.01.13;1,177745722
10.01.13;1,177745722
11.01.13;1,177745722
12.01.13;1,177745722
13.01.13;1,177745722
14.01.13;1,177745722
15.01.13;1,177745722
16.01.13;1,177745722
17.01.13;1,177745722
18.01.13;1,177745722
19.01.13;1,177745722
20.01.13;1,177745722
21.01.13;1,177745722
22.01.13;1,177745722
23.01.13;1,57032763
24.01.13;1,57032763
25.01.13;1,177745722
26.01.13;1,177745722
27.01.13;1,177745722
28.01.13;1,57032763
29.01.13;1,57032763
30.01.13;1,57032763
31.01.13;1,962909537
01.02.13;1,962909537
02.02.13;2,355491445
03.02.13;1,962909537
04.02.13;1,57032763
05.02.13;1,57032763
